date,close,open,high,low,volume,change
2021/8/20,24849.72 ,25241.32 ,25244.75 ,24581.60 ,2860000000,-1.84%
2021/8/19,25316.33 ,25787.84 ,25832.92 ,25183.67 ,2310000000,-2.13%
2021/8/18,25867.01 ,25800.03 ,26025.14 ,25708.95 ,1760000000,0.47%
2021/8/17,25745.87 ,26137.90 ,26258.79 ,25615.38 ,2290000000,-1.66%
2021/8/16,26181.46 ,26365.19 ,26449.71 ,26046.90 ,1650000000,-0.80%
2021/8/13,26391.62 ,26296.19 ,26521.95 ,26200.24 ,1340000000,-0.48%
2021/8/12,26517.82 ,26623.77 ,26713.24 ,26385.45 ,1660000000,-0.53%
2021/8/11,26660.16 ,26491.74 ,26822.47 ,26454.45 ,2410000000,0.20%
2021/8/10,26605.62 ,26456.61 ,26610.95 ,26138.87 ,1740000000,1.23%
2021/8/9,26283.40 ,25969.23 ,26527.24 ,25920.85 ,1590000000,0.40%
2021/8/6,26179.40 ,26262.97 ,26276.87 ,26002.41 ,1560000000,-0.10%
2021/8/5,26204.69 ,26390.01 ,26569.37 ,26126.37 ,1700000000,-0.84%
2021/8/4,26426.55 ,26161.83 ,26650.82 ,26009.83 ,1780000000,0.88%
2021/8/3,26194.82 ,26289.06 ,26289.06 ,25774.62 ,2010000000,-0.16%
2021/8/2,26235.80 ,26054.81 ,26300.55 ,25743.09 ,1770000000,1.06%
2021/7/30,25961.03 ,26042.84 ,26151.00 ,25636.89 ,2430000000,-1.35%
2021/7/29,26315.32 ,26221.36 ,26335.36 ,25857.42 ,3270000000,3.30%
2021/7/28,25473.88 ,25356.74 ,25520.75 ,24848.43 ,3390000000,1.54%
2021/7/27,25086.43 ,26011.51 ,26323.61 ,24748.84 ,4660000000,-4.22%
2021/7/26,26192.32 ,26825.73 ,26878.75 ,26177.40 ,2700000000,-4.13%
2021/7/23,27321.98 ,27740.95 ,27740.95 ,27222.04 ,1180000000,-1.45%
2021/7/22,27723.84 ,27464.28 ,27759.71 ,27455.43 ,1810000000,1.83%
2021/7/21,27224.58 ,27339.22 ,27371.50 ,26971.03 ,1670000000,-0.13%
2021/7/20,27259.25 ,27395.83 ,27532.86 ,27121.49 ,2260000000,-0.84%
2021/7/19,27489.78 ,27786.54 ,27786.54 ,27397.29 ,1870000000,-1.84%
