date,close,open,high,low,pre_close,change,pct_chg,volume,amount
"20190327","2741.5907","2721.1376","2751.7216","2714.095","2706.1537","35.437","1.3095","33542018","51900870.707"
"20190326","2706.1537","2737.3723","2739.2856","2693.9112","2718.1807","-12.027","-0.4425","40073955","52612740.798"
"20190325","2718.1807","2757.8104","2765.8419","2717.2935","2795.3909","-77.2102","-2.7621","52140915","66207961.992"
"20190322","2795.3909","2804.7176","2813.5151","2771.9562","2802.9647","-7.5738","-0.2702","35988070","50509047.892"
"20190321","2802.9647","2816.4519","2822.6336","2799.8337","2812.9179","-9.9532","-0.3538","43631385","63731399.243"
"20190320","2812.9179","2799.325","2831.6252","2787.2834","2806.8964","6.0215","0.2145","40322247","58429045.852"
"20190319","2806.8964","2830.2422","2842.4453","2797.717","2825.1837","-18.2873","-0.6473","43459056","62362679.352"
"20190318","2825.1837","2763.2251","2827.2603","2749.1986","2755.8053","69.3784","2.5175","61605235","87655202.122"
"20190315","2755.8053","2735.9993","2783.5066","2735.8626","2729.1324","26.6729","0.9773","44123096","67258458.922"
"20190314","2729.1324","2720.1882","2752.6613","2716.2685","2723.9618","5.1706","0.1898","43471813","62567909.556"
"20190313","2723.9618","2731.5007","2747.9566","2699.9803","2719.7727","4.1891","0.154","54064571","74117602.733"
"20190312","2719.7727","2730.5292","2759.6093","2704.6928","2708.5982","11.1745","0.4126","64867544","85051842.954"
"20190311","2708.5982","2683.7646","2714.0892","2670.7929","2685.592","23.0062","0.8567","52014052","70198689.432"
"20190308","2685.592","2731.5301","2753.5526","2684.1969","2789.7001","-104.1081","-3.7319","72033928","96388376.525"
"20190307","2789.7001","2831.3614","2831.3614","2773.3527","2840.2717","-50.5716","-1.7805","73263959","102232455.265"
"20190306","2840.2717","2827.8574","2847.3784","2797.5022","2828.8685","11.4032","0.4031","69492224","91060938.203"
"20190305","2828.8685","2829.4997","2835.106","2807.1226","2832.5878","-3.7193","-0.1313","60349235","75288723.604"
"20190304","2832.5878","2839.4045","2907.8176","2816.9787","2819.4681","13.1197","0.4653","92180167","118854256.221"
"20190301","2819.4681","2764.9462","2819.4681","2747.2132","2743.9716","75.4965","2.7514","56100147","76333697.134"
"20190228","2743.9716","2749.8699","2767.8608","2733.0302","2750.3391","-6.3675","-0.2315","46340959","62186339.126"
"20190227","2750.3391","2739.1109","2794.9321","2722.3094","2733.9005","16.4386","0.6013","75508865","91098634.597"
"20190226","2733.9005","2781.3088","2804.1631","2729.4761","2787.6987","-53.7982","-1.9298","87230161","114283254.756"
"20190225","2787.6987","2652.9056","2788.6667","2652.9056","2623.0736","164.6251","6.276","96939051","125003280.129"
"20190222","2623.0736","2575.9981","2623.0931","2555.7256","2577.2255","45.8481","1.779","41384151","53491957.465"
"20190221","2577.2255","2586.7389","2615.4696","2569.4752","2588.166","-10.9405","-0.4227","35252855","44405018.411"
"20190220","2588.166","2593.7887","2599.5452","2569.983","2579.0463","9.1197","0.3536","29965181","38166831.752"
"20190219","2579.0463","2586.8583","2614.3646","2568.1759","2582.8512","-3.8049","-0.1473","37907379","49607504.218"
"20190218","2582.8512","2540.5321","2583.3972","2540.2963","2517.4622","65.389","2.5974","37400592","47875957.598"
"20190215","2517.4622","2566.3365","2568.7861","2515.8877","2576.3062","-58.844","-2.284","30315796","39093901.907"
"20190214","2576.3062","2572.6415","2585.5084","2564.8712","2580.6116","-4.3054","-0.1668","27718515","35168460.065"
"20190213","2580.6116","2538.4162","2587.8764","2528.2264","2533.1817","47.4299","1.8723","39821832","48008835.511"
"20190212","2533.1817","2528.103","2537.2935","2515.026","2527.4736","5.7081","0.2258","25458804","33771727.407"
"20190211","2527.4736","2485.5032","2528.3844","2484.6479","2499.6442","27.8294","1.1133","25211570","34715191.184"
"20190201","2499.6442","2502.1044","2503.5526","2479.3375","2483.4709","16.1733","0.6512","21950054","29364022.984"
"20190131","2483.4709","2454.6436","2487.0965","2450.1839","2440.0146","43.4563","1.781","26681298","34141608.094"
"20190130","2440.0146","2445.8648","2462.6055","2439.3315","2455.8968","-15.8822","-0.6467","17835170","22414217.284"
"20190129","2455.8968","2433.3057","2461.5178","2423.4611","2437.0261","18.8707","0.7743","21863480","27141683.077"
"20190128","2437.0261","2455.2764","2473.1187","2429.8798","2441.64","-4.6139","-0.189","23468163","32696609.436"
"20190125","2441.64","2419.2563","2453.6657","2418.0088","2411.5621","30.0779","1.2472","25683679","32544229.949"
"20190124","2411.5621","2401.3761","2414.888","2385.0986","2397.0493","14.5128","0.6054","20415697","27328503.933"
"20190123","2397.0493","2397.4091","2414.024","2392.6418","2401.233","-4.1837","-0.1742","16290135","20185057.238"
"20190122","2401.233","2430.4346","2430.4346","2394.1847","2432.487","-31.254","-1.2849","19373137","25702750.008"
"20190121","2432.487","2418.0047","2443.2254","2418.0047","2417.363","15.124","0.6256","26237236","33912529.398"
"20190118","2417.363","2385.6219","2422.029","2380.5624","2371.3481","46.0149","1.9405","30088200","37495330.1"
"20190117","2371.3481","2388.5925","2396.7993","2370.5809","2381.2178","-9.8697","-0.4145","21555000","26964929.419"
"20190116","2381.2178","2375.1705","2385.216","2366.3446","2378.3696","2.8482","0.1198","18097039","25235752.765"
"20190115","2378.3696","2337.7021","2380.5995","2332.4095","2331.1358","47.2338","2.0262","22466336","32220714.37"
"20190114","2331.1358","2350.256","2354.3082","2330.0042","2354.4987","-23.3629","-0.9923","16462252","20643865.539"
"20190111","2354.4987","2342.0236","2360.0609","2334.9145","2331.8507","22.648","0.9712","18417693","24514111.745"
"20190110","2331.8507","2333.2162","2345.3313","2321.3049","2332.7192","-0.8685","-0.0372","22280507","28880603.065"
"20190109","2332.7192","2320.9119","2360.3601","2318.4352","2305.1708","27.5484","1.1951","28747596","37485405.834"
"20190108","2305.1708","2312.1705","2312.1705","2298.9548","2314.3193","-9.1485","-0.3953","18131160","22329122.125"
